halo_id,snapshot,z,mass,descendant_id
502,3,3.6,32137006791.96296,225.0
503,3,3.6,15906808497.161442,226.0
504,3,3.6,12413489616.83937,227.0
505,3,3.6,6857898618.447687,228.0
506,3,3.6,14551122062.058874,228.0
507,3,3.6,35636619394.71401,229.0
508,3,3.6,6312848919.023862,230.0
509,3,3.6,2793043953.5008903,231.0
510,3,3.6,24228016274.062576,232.0
511,3,3.6,10451585611.432999,233.0
512,3,3.6,3758367461.0356097,234.0
513,3,3.6,1296261943.889384,234.0
514,3,3.6,13254490796.15803,235.0
515,3,3.6,19453217399.54697,235.0
516,3,3.6,11246214460.253126,235.0
517,3,3.6,1146681775.3328607,236.0
518,3,3.6,127695299.84345376,236.0
519,3,3.6,833283086.0128734,236.0
520,3,3.6,10079156873.862589,237.0
521,3,3.6,4180802880.647571,238.0
522,3,3.6,12779646274.273375,238.0
523,3,3.6,510765771.6254358,238.0
524,3,3.6,5582166879.953201,239.0
525,3,3.6,1093683322.383933,240.0
526,3,3.6,5999913558.942865,240.0
527,3,3.6,2046753046.2064514,240.0
528,3,3.6,23874951552.45917,241.0
529,3,3.6,13748554704.6573,242.0
530,3,3.6,1361294607.8952203,243.0
531,3,3.6,6361186223.368387,244.0
532,3,3.6,11071552536.847393,245.0
533,3,3.6,409063390.50742346,245.0
534,3,3.6,84851826828.49072,245.0
535,3,3.6,8408796800.792331,246.0
536,3,3.6,17369338978.226124,246.0
537,3,3.6,6844792375.972491,247.0
538,3,3.6,2543310045.4523287,247.0
539,3,3.6,73981516359.03186,248.0
540,3,3.6,30337497828.22179,249.0
541,3,3.6,3919882704.6990724,249.0
542,3,3.6,2215863669.713078,250.0
543,3,3.6,10428667059.139341,250.0
544,3,3.6,3631772590.307222,251.0
545,3,3.6,5764778967.9553585,251.0
546,3,3.6,4296310120.991843,251.0
547,3,3.6,448086494.9546505,252.0
548,3,3.6,1117453571.4995468,252.0
549,3,3.6,38393562256.304474,253.0
550,3,3.6,1318812768.3022707,254.0
551,3,3.6,1428051424.6071494,254.0
552,3,3.6,4418661358.524488,254.0
553,3,3.6,530911795.0373413,255.0
554,3,3.6,5283315609.615931,255.0
555,3,3.6,22415452367.983162,256.0
556,3,3.6,66366002180.30063,256.0
557,3,3.6,4843194860.274262,256.0
558,3,3.6,5022741950.4411745,257.0
559,3,3.6,1117283222.9431298,258.0
560,3,3.6,6229022129.560774,258.0
561,3,3.6,1485377646.134233,258.0
562,3,3.6,21671489036.348007,259.0
563,3,3.6,201385631.14015812,260.0
564,3,3.6,16361849330.224993,260.0
565,3,3.6,1237525351.750641,260.0
566,3,3.6,1160966537.866456,261.0
567,3,3.6,4862991680.76932,261.0
568,3,3.6,2415373207.9119024,261.0
569,3,3.6,12589194862.1341,262.0
570,3,3.6,3996784504.132323,263.0
571,3,3.6,5454837436.00415,263.0
572,3,3.6,335042099.1942782,264.0
573,3,3.6,896789847.6051079,264.0
574,3,3.6,1017145869.2113671,264.0
575,3,3.6,126411292210.6121,265.0
576,3,3.6,30432633677.895767,266.0
577,3,3.6,9976790111.106024,266.0
578,3,3.6,65830081402.694214,267.0
579,3,3.6,5950608820.310595,268.0
580,3,3.6,4520907327.4844,268.0
581,3,3.6,8930053967.647787,268.0
582,3,3.6,19033005241.150757,269.0
583,3,3.6,16735758090.98063,270.0
584,3,3.6,6217067565.169219,271.0
585,3,3.6,22366808580.115738,272.0
586,3,3.6,19083641042.201427,272.0
587,3,3.6,21145221220.41079,273.0
588,3,3.6,39086958620.75212,274.0
589,3,3.6,15270937.019327149,275.0
590,3,3.6,307454845.6853587,275.0
591,3,3.6,1687347041.5105996,275.0
592,3,3.6,875703222.2790376,276.0
593,3,3.6,2976648284.4186015,276.0
594,3,3.6,851140843.1874819,277.0
595,3,3.6,195180722.5464959,277.0
596,3,3.6,402261208.2182475,277.0
597,3,3.6,23019998171.19852,278.0
598,3,3.6,5239851959.766152,279.0
599,3,3.6,2217598515.4345,279.0
600,3,3.6,4995828899.599862,279.0
601,3,3.6,5402103836.043868,280.0
602,3,3.6,17107634762.35405,281.0
603,3,3.6,11931729316.217592,281.0
604,3,3.6,616878319.2516462,281.0
605,3,3.6,203183935.08625954,282.0
606,3,3.6,40248102249.01364,283.0
607,3,3.6,30920540998.110153,283.0
608,3,3.6,3412729438.7784615,283.0
609,3,3.6,5667199192.263987,284.0
610,3,3.6,10832687758.826637,285.0
611,3,3.6,39488317504.57925,286.0
612,3,3.6,26834732814.81547,287.0
613,3,3.6,8214763831.44937,287.0
614,3,3.6,3512655539.8875923,288.0
615,3,3.6,13049868747.044012,288.0
616,3,3.6,6403262926.566747,289.0
617,3,3.6,51537104057.89232,289.0
618,3,3.6,5957658196.0516615,289.0
619,3,3.6,19623264478.765224,290.0
620,3,3.6,35540540350.726654,290.0
621,3,3.6,1547332756.5144322,290.0
622,3,3.6,57034055.46773238,291.0
623,3,3.6,411761467.3436695,291.0
624,3,3.6,5292912630.695699,292.0
625,3,3.6,38919475759.41828,292.0
626,3,3.6,5421632270.5374365,292.0
627,3,3.6,137459676.7392607,293.0
628,3,3.6,6696511915.392653,293.0
629,3,3.6,1565322735.6489425,293.0
630,3,3.6,50745209675.530846,294.0
631,3,3.6,2977475864.936673,294.0
632,3,3.6,118998996.06994167,295.0
633,3,3.6,106985053713.49774,295.0
634,3,3.6,18070439797.26413,296.0
635,3,3.6,798890468.7407353,297.0
636,3,3.6,29871969816.383385,297.0
637,3,3.6,5950924273.035096,298.0
638,3,3.6,426523197.42707133,298.0
639,3,3.6,2434556046.7791224,298.0
640,3,3.6,3471652833.33539,299.0
641,3,3.6,2238774115.9459815,299.0
642,3,3.6,2226367987.6419983,299.0
643,3,3.6,10490570863.03544,300.0
644,3,3.6,718636347.8189938,300.0
645,3,3.6,3313236656.2597504,300.0
646,3,3.6,4488868074.582924,301.0
647,3,3.6,25066784914.665104,302.0
648,3,3.6,2613738134.6274014,303.0
649,3,3.6,42598987395.49224,303.0
650,3,3.6,12702939268.598103,303.0
651,3,3.6,2609608856.1025443,304.0
652,3,3.6,1204199721.409332,304.0
653,3,3.6,4936204494.766787,305.0
654,3,3.6,7868313142.020398,306.0
655,3,3.6,9799131871.138308,306.0
656,3,3.6,81466067753.19763,307.0
657,3,3.6,624337040.4207976,308.0
658,3,3.6,69951789.75452283,308.0
659,3,3.6,4686658590.163949,309.0
660,3,3.6,5861543131.607576,310.0
661,3,3.6,1518831009.3185065,311.0
662,3,3.6,2495581199.3890243,311.0
663,3,3.6,253663629.21412763,311.0
664,3,3.6,5600832655.487275,312.0
665,3,3.6,8154457682.978863,312.0
666,3,3.6,6174109879.883156,312.0
667,3,3.6,16697374966.563929,313.0
668,3,3.6,11081095382.821346,313.0
669,3,3.6,9254584006.422682,314.0
670,3,3.6,16700544225.624605,314.0
671,3,3.6,4811783515.324737,314.0
672,3,3.6,96851422578.477,315.0
673,3,3.6,3429399164.4159565,315.0
674,3,3.6,5768463171.064556,316.0
675,3,3.6,5186029459.470497,316.0
676,3,3.6,1050198851.1031188,317.0
677,3,3.6,2625070917.4598083,317.0
678,3,3.6,852634442.3121624,317.0
679,3,3.6,15731213212.675058,318.0
680,3,3.6,40017830247.17044,318.0
681,3,3.6,9103742595.100683,319.0
682,3,3.6,3629219254.7745833,320.0
683,3,3.6,306956000.10902506,320.0
684,3,3.6,2202928600.5938673,321.0
685,3,3.6,6888322597.812406,321.0
686,3,3.6,53251890108.56374,322.0
687,3,3.6,1371158470.5095882,323.0
688,3,3.6,407013229.82428837,323.0
689,3,3.6,1027955921.5907135,324.0
690,3,3.6,2143406375.699948,324.0
691,3,3.6,3390631375.9016895,325.0
692,3,3.6,24278828510.87266,325.0
693,3,3.6,18335139394.351036,325.0
694,3,3.6,2935031184.825044,326.0
695,3,3.6,4885172785.707093,326.0
696,3,3.6,6102028798.405267,327.0
697,3,3.6,6318476212.883787,327.0
698,3,3.6,5428656765.7482,327.0
699,3,3.6,33255751788.697784,328.0
700,3,3.6,6277928539.157155,329.0
701,3,3.6,194089463.27198932,329.0
